1.07951	4.00035	1.00009
2.07991	8.34328	2.00043
3.0804	13.3458	3.00094
4.07992	18.9837	4.0004
5.08305	25.0844	5.00094
6.07951	32.0784	6.00008
7.07983	32.0807	7.00048
8.08008	38.958	8.0007
9.08045	36.9589	9.00097
10.0809	26.4109	10.0015
11.0823	22.0852	11.0011
12.0805	15.0843	7.09768
13.0808	20.0726	8.09791
14.081	25.0739	9.09816
15.0813	20.5641	7.87713
16.0806	19.8228	8.87644
17.0809	24.8242	9.87671
18.0811	29.8256	10.877
19.0807	35.3781	11.8764
20.0811	41.6142	12.8769
21.0889	48.7943	13.8828
22.0888	56.7966	14.8831
23.0871	56.4744	15.8829
24.0865	42.0261	13.0242
25.087	48.9871	14.0246
26.0868	56.5918	15.0246
27.088	33.5812	11.3615
28.0884	19.2651	7.14027
29.0881	24.2636	8.13996
30.0884	14.1651	7.27378
31.0879	17.8546	8.27328
32.0875	21.8531	9.27291
33.088	18.4923	10.2733
34.0885	22.4945	11.2738
35.0889	26.6537	12.2743
36.0891	18.3807	8.28524
37.0885	15.6863	9.28453
38.0889	19.0556	10.285
39.0892	23.0567	11.2852
40.0884	27.6674	12.2845
41.0889	32.6688	13.2848
42.091	37.671	14.2853
43.0893	28.323	10.2456
44.0886	22.7704	9.15719
45.0897	27.7719	10.1575
46.0912	22.5141	8.36806
47.0885	27.5115	9.36754
48.089	32.9398	10.3679
49.0895	27.575	9.61446
50.0898	32.6856	10.6149
51.0901	32.7865	11.6151
52.0913	37.7881	12.6154
53.0908	43.5907	13.6157
54.0912	43.1645	14.6162
55.0906	7.91044	5.10921
56.091	10.8437	6.10957
57.0913	14.3239	7.10985
58.0906	18.6866	8.10919
59.091	16.8868	9.10955
60.0913	11.4266	4.93289
61.0916	15.4276	5.93312
62.0918	19.5693	6.93338
63.0921	16.6368	6.48023
64.0923	20.6378	7.48047
65.0916	25.4569	8.47972
66.0919	30.4586	9.48005
67.0923	35.7486	10.4803
68.0916	41.745	11.4797
69.0919	35.2665	11.3667
70.0922	35.218	12.367
